name,temp,humidity,clouds,wind_speed,country code,lat,lng
copperas cove,81.216,75.958,35.0,8.295,us,31.124,-97.903
altamira,79.578,77.625,63.125,3.1,br,-3.2,-52.2
hendaye,68.942,79.917,34.792,5.561,fr,43.372,-1.774
limbang,82.4,87.333,75.0,4.168,my,4.75,115.0
shieli,82.187,29.75,3.125,9.914,kz,44.167,66.75
laurel,76.614,88.208,60.458,6.811,us,31.694,-89.131
dharchula,74.814,94.0,98.417,1.865,in,29.85,80.533
nuevo progreso,80.544,81.917,95.333,6.282,mx,23.167,-97.95
gawler,54.14,63.333,24.667,12.948,au,-34.603,138.749
rockhampton,58.175,68.25,8.542,5.089,au,-23.38,150.506
linguere,86.272,58.583,29.292,5.755,sn,15.4,-15.117
vaitape,80.055,73.625,23.833,20.76,pf,-16.517,-151.75
goldsboro,78.928,87.75,45.583,4.834,us,35.385,-77.993
batken,78.268,36.417,38.583,5.697,kg,40.05,70.833
ruteng,64.861,78.0,46.875,1.622,id,-8.614,120.472
alihe,69.676,64.792,70.333,3.58,cn,50.567,123.717
longyearbyen,43.025,74.667,57.5,15.439,sj,78.217,15.633
pyinmana,81.241,85.0,63.333,3.427,mm,19.733,96.217
lyaskelya,73.017,60.75,24.75,5.222,ru,61.767,31.017
dongying,85.159,65.708,99.125,10.368,cn,37.456,118.486
lubao,77.681,23.167,15.917,6.304,cd,-5.367,25.75
san fernando,82.606,74.125,96.5,15.529,mx,24.85,-98.15
taburao,81.65,80.917,64.792,6.857,ki,1.817,173.017
juneau,54.707,82.333,86.25,7.321,us,58.302,-134.42
san patricio,83.18,80.375,72.167,6.095,mx,19.217,-104.7
igrim,60.03,46.917,39.25,4.678,ru,63.191,64.416
yubari,67.809,99.75,75.625,8.343,jp,43.038,141.958
paysandu,50.309,67.958,10.083,4.264,uy,-32.321,-58.076
terme,76.302,74.958,53.125,7.672,tr,41.209,36.974
marietta,72.138,80.667,53.875,5.842,us,39.415,-81.455
port hedland,71.3,54.458,45.417,6.235,au,-20.312,118.611
dingzhou,77.6,87.292,85.292,7.362,cn,38.513,114.996
tias,74.356,79.792,42.792,7.241,es,28.961,-13.645
saskatoon,79.201,44.333,35.5,12.085,ca,52.133,-106.667
datong,78.09,53.625,99.083,8.742,cn,40.094,113.291
kavaratti,82.446,79.417,100.0,23.174,in,10.567,72.617
vila,75.05,85.583,42.5,3.495,vu,-17.733,168.317
azimur,85.914,45.667,81.333,6.603,ma,33.29,-8.342
yarmouth,63.486,84.292,48.417,8.231,ca,43.833,-66.117
kuytun,79.815,48.208,60.583,8.11,cn,44.417,85.0
sao joao do paraiso,66.302,54.25,24.792,4.157,br,-15.317,-42.017
kampene,76.945,31.792,75.5,3.546,cd,-3.6,26.667
bhag,106.954,25.042,11.125,8.656,pk,29.041,67.824
myre,54.197,88.167,44.375,14.291,no,69.104,15.949
fuyang,91.375,66.0,4.167,5.777,cn,30.053,119.952
ostrovskoye,69.063,54.083,2.458,6.19,ru,57.806,42.243
lady lake,80.145,80.333,11.917,4.349,us,28.917,-81.923
aztec,81.173,24.958,1.0,9.651,us,36.822,-107.992
atbasar,72.908,48.958,79.792,6.944,kz,51.8,68.333
chingola,59.968,50.25,6.292,6.924,zm,-12.533,27.85
puqi,87.476,64.208,91.833,11.791,cn,29.717,113.883
bom jesus,78.988,45.875,49.833,4.276,br,-9.067,-44.367
kurara,91.445,56.417,97.333,13.706,in,25.983,79.983
san cristobal,70.965,75.917,28.708,12.408,ec,-0.917,-89.567
amazar,64.458,51.333,57.792,3.16,ru,53.858,120.875
malbork,66.373,74.5,9.25,5.752,pl,54.036,19.035
mushie,83.328,43.042,8.208,3.343,cd,-3.017,16.9
zyryanskoye,67.242,65.292,62.333,2.598,ru,56.831,86.626
saint-jean-port-joli,65.487,68.0,70.417,7.805,ca,47.2,-70.267
filingue,89.009,48.917,59.958,7.049,ne,14.35,3.317
subate,72.494,74.292,12.417,4.022,lv,56.017,25.9
esna,93.2,26.25,0.0,6.433,eg,25.293,32.553
truro,68.554,77.5,74.333,4.219,ca,45.367,-63.3
eldikan,54.946,91.5,99.75,4.699,ru,60.8,135.183
roblin,73.727,55.333,9.208,9.063,ca,51.233,-101.35
rodrigues alves,79.427,43.792,29.417,2.047,br,-11.9,-65.0
minas,47.394,74.792,0.833,3.834,uy,-34.37,-55.225
ilebo,78.565,27.375,20.583,2.081,cd,-4.317,20.583
bandar-e torkaman,81.2,67.167,52.917,6.401,ir,36.902,54.071
niquero,80.435,74.875,44.333,4.837,cu,20.043,-77.583
betanzos,49.0,67.583,5.958,5.968,bo,-19.551,-65.453
toyooka,76.635,89.792,69.792,4.377,jp,35.533,134.833
cerrito,69.732,59.458,55.625,6.705,py,-27.317,-57.667
suoyarvi,77.561,49.917,19.75,5.475,ru,62.083,32.35
kropotkin,60.702,58.5,83.208,3.93,ru,58.509,115.322
helsinki,71.501,66.083,12.5,11.03,fi,60.176,24.934
pingliang,76.249,53.042,48.625,4.156,cn,35.539,106.686
gladstone,62.485,64.917,35.833,6.984,au,-23.848,151.256
aksarka,53.193,53.167,37.833,13.13,ru,66.561,67.797
chilliwack,66.09,63.875,0.0,3.996,ca,49.167,-121.95
kainantu,64.422,74.292,67.167,3.168,pg,-6.283,145.867
bolshoy uluy,65.325,67.042,69.0,2.665,ru,56.656,90.578
yokadouma,73.321,86.667,52.792,2.346,cm,3.517,15.05
tilichiki,62.005,48.792,44.167,3.525,ru,60.467,166.1
yagodnoye,66.055,60.167,19.667,9.032,ru,62.55,149.667
capoterra,82.583,52.333,0.0,10.07,it,39.174,8.971
aketi,74.67,83.875,99.042,1.825,cd,2.733,23.767
penhold,65.229,64.917,46.417,7.338,ca,52.133,-113.867
det udom,85.104,77.5,18.542,4.872,th,14.906,105.078
taltal,58.468,77.333,93.833,3.184,cl,-25.4,-70.483
sveti nikole,77.675,60.75,12.292,3.011,mk,41.865,21.943
tulle,65.896,70.708,8.417,4.298,fr,45.27,1.773
qurayyat,91.151,64.583,32.125,6.284,om,23.263,58.916
mbengwi,66.087,92.042,67.167,2.429,cm,6.017,10.0
am timan,78.831,73.542,88.792,8.515,td,11.033,20.283
abong mbang,71.367,88.667,71.333,2.287,cm,3.983,13.183
sorong,81.443,79.0,80.833,4.462,id,-0.883,131.25
guamo,79.136,65.625,46.0,2.329,co,4.031,-74.97
calamar,74.657,90.667,76.292,1.747,co,1.96,-72.653
cam pha,86.3,78.875,30.75,4.887,vn,21.017,107.317
nova olimpia,76.653,35.083,83.125,3.098,br,-14.817,-57.333
petropavlovsk-kamchatskiy,63.425,69.167,25.0,6.804,ru,53.045,158.648
buffalo,71.587,56.042,8.417,6.652,us,45.172,-93.874
gornja koprivna,71.414,77.375,47.25,2.204,ba,45.012,15.957
verkhnetulomskiy,57.875,69.417,29.792,5.901,ru,68.607,31.796
stephenville,81.251,67.875,24.5,6.502,us,32.221,-98.202
bozuyuk,72.338,57.042,8.333,7.433,tr,39.908,30.037
komatipoort,65.905,57.208,0.0,4.403,za,-25.433,31.955
shakawe,61.92,30.208,0.0,5.399,bw,-18.367,21.85
swan hill,49.2,59.833,73.792,9.185,au,-35.339,143.56
kitimat,63.744,68.042,69.792,7.527,ca,54.0,-128.7
belushya guba,40.394,79.917,98.75,24.315,ru,71.539,52.332
novopokrovka,73.855,78.708,64.083,3.152,ru,45.853,134.509
odienne,74.641,86.25,69.625,2.809,ci,9.505,-7.564
santa isabel,82.581,34.458,53.25,3.88,mx,28.383,-113.35
fevralsk,68.255,90.125,68.167,3.598,ru,52.467,130.717
santa catarina de tepehuanes,70.515,56.625,95.667,5.49,mx,25.35,-105.733
young,46.199,79.375,62.875,4.569,au,-34.313,148.301
young,46.199,79.375,62.875,4.569,uy,-32.683,-57.633
young,50.484,68.542,6.708,3.953,au,-34.313,148.301
young,50.484,68.542,6.708,3.953,uy,-32.683,-57.633
aguas belas,71.02,83.333,57.792,6.515,br,-9.117,-37.117
mafra,54.105,82.708,0.375,1.212,br,-26.118,-49.802
shiyan,79.058,77.792,72.958,3.964,cn,32.648,110.778
khor,95.14,64.25,9.375,7.386,qa,25.684,51.506
