name,temp,humidity,clouds,wind_speed,country code,lat,lng
menongue,59.60041666666668,28.5,0.0,5.144583333333334,ao,-14.662,17.688
wawa,61.70333333333334,68.375,21.0,4.986249999999999,ca,48.0,-84.783
sainte-suzanne,67.71875000000001,75.41666666666667,56.041666666666664,18.460833333333333,re,-20.9,55.617
edson,64.175,62.583333333333336,26.5,7.240416666666666,ca,53.583,-116.417
fez,96.56791666666668,12.666666666666666,33.291666666666664,8.680833333333332,ma,34.037,-5.0
asimion,81.11916666666667,61.625,11.666666666666666,16.515000000000004,gr,35.05,25.1
moyale,72.50500000000001,52.791666666666664,88.75,12.443750000000003,et,3.569,39.083
tres picos,81.47250000000001,70.375,68.83333333333333,4.078333333333333,mx,15.867,-93.533
zigong,77.74083333333334,92.54166666666667,82.16666666666667,3.145,cn,29.342,104.777
mangan,76.97541666666667,89.91666666666667,96.41666666666667,1.499583333333333,in,27.517,88.533
campbell river,68.91416666666665,55.083333333333336,27.041666666666668,8.584583333333335,ca,50.017,-125.25
zhob,89.07125,35.875,5.375,6.537916666666667,pk,31.341,69.448
poronaysk,66.27208333333336,83.25,55.666666666666664,6.823333333333334,ru,49.217,143.117
ortigueira,57.70333333333332,67.04166666666667,0.0,1.6275000000000002,br,-24.2,-50.917
malindi,77.64833333333333,80.54166666666667,50.708333333333336,11.296666666666667,ke,-3.217,40.117
alcaniz,74.52124999999998,62.458333333333336,44.958333333333336,4.707499999999999,es,41.05,-0.133
namtsy,56.224999999999994,72.25,3.3333333333333335,7.549166666666669,ru,62.716,129.666
stoyba,67.00541666666668,92.95833333333333,82.125,3.1895833333333328,ru,52.8,131.7
holetown,81.275,83.04166666666667,63.333333333333336,23.399166666666662,bb,13.183,-59.65
hunza,75.90583333333332,48.291666666666664,23.75,3.989166666666666,pk,36.319,74.664
leticia,76.55458333333334,94.04166666666667,65.83333333333333,2.8395833333333322,co,-4.215,-69.941
sedkyrkeshch,61.475000000000016,68.54166666666667,36.25,5.5908333333333315,ru,61.75,50.917
alta floresta,77.3604166666667,41.125,33.666666666666664,5.237916666666666,br,-9.9,-55.9
hay river,66.95000000000002,73.95833333333333,75.0,9.732500000000002,ca,60.85,-115.7
arraial do cabo,69.96541666666667,81.70833333333333,5.0,6.204583333333335,br,-22.967,-42.017
ask,64.49625,77.70833333333333,34.166666666666664,11.800000000000002,no,60.083,11.033
omura,79.94166666666666,88.125,74.0,6.187083333333333,jp,32.921,129.954
matinha,78.39250000000001,79.20833333333333,51.291666666666664,3.763333333333334,br,-3.1,-45.033
is,57.82416666666666,56.166666666666664,5.875,7.2175,ru,58.793,59.718
south yuba city,92.57125000000002,28.708333333333332,11.875,6.937916666666666,us,39.117,-121.638
lewisporte,62.25083333333333,77.375,65.0,7.329166666666666,ca,49.233,-55.067
bulgan,65.82416666666666,79.875,70.125,3.220833333333333,mn,48.811,103.532
carlos chagas,70.085,68.91666666666667,28.708333333333332,3.3229166666666665,br,-17.717,-40.75
tunxi,85.09583333333335,72.875,99.75,3.040416666666667,cn,29.711,118.312
inyonga,66.71458333333334,38.5,2.5833333333333335,5.282916666666667,tz,-6.717,32.067
benoy,80.73666666666666,78.45833333333333,50.583333333333336,5.2325,td,8.983,16.317
kalevala,70.75916666666667,65.08333333333333,81.625,4.4775,ru,65.205,31.176
mbanza-ngungu,74.41250000000001,61.791666666666664,4.666666666666667,5.570833333333333,cd,-5.25,14.867
bronnoysund,64.15374999999999,82.5,71.04166666666667,11.60416666666667,no,65.467,12.217
ikom,76.27958333333332,90.29166666666667,72.41666666666667,2.0300000000000002,ng,5.961,8.711
krasnokholmskiy,64.29625,63.708333333333336,60.666666666666664,11.369583333333333,ru,55.987,55.047
ziro,72.27125000000001,86.75,73.91666666666667,3.1404166666666655,in,27.633,93.833
znamenskoye,68.0491666666667,69.16666666666667,53.416666666666664,5.724166666666666,ru,57.128,73.828
teresina,84.65000000000002,62.958333333333336,10.625,5.250416666666666,br,-5.083,-42.817
rocky mountain house,64.18791666666665,65.54166666666667,58.791666666666664,5.187499999999999,ca,52.367,-114.917
santa maria del oro,72.73958333333333,51.166666666666664,87.125,5.4312499999999995,mx,25.933,-105.367
sao paulo de olivenca,74.7175,94.66666666666667,87.91666666666667,1.3325,br,-3.45,-68.8
bela vista,74.16625,36.583333333333336,3.5,5.524583333333333,br,-22.1,-56.517
severo-kurilsk,52.438333333333325,91.25,98.625,6.456250000000002,ru,50.679,156.125
puerto del rosario,74.64708333333333,75.95833333333333,33.958333333333336,9.765833333333335,es,28.5,-13.863
kiunga,78.40416666666667,89.125,89.625,2.5783333333333327,pg,-6.117,141.3
uyskoye,59.71458333333333,82.75,97.41666666666667,13.084166666666667,ru,54.345,60.018
praia,75.575,67.875,54.583333333333336,9.784166666666666,cv,14.917,-23.517
shirokiy,62.55125,66.41666666666667,62.375,12.912083333333335,ru,63.117,147.95
huangmei,85.51375,75.04166666666667,94.375,4.915,cn,30.192,116.025
nha trang,79.39999999999999,85.70833333333333,37.083333333333336,3.4841666666666655,vn,12.25,109.183
suntar,63.04124999999999,58.083333333333336,89.08333333333333,4.418333333333333,ru,62.144,117.632
kemin,68.03333333333333,57.0,50.333333333333336,5.786250000000002,kg,42.785,75.691
sao gotardo,61.634166666666665,49.416666666666664,0.0,3.471250000000001,br,-19.317,-46.05
minot,76.73500000000003,54.916666666666664,1.0,8.677083333333332,us,48.233,-101.296
betioky,71.53708333333333,42.166666666666664,0.0,4.89625,mg,-23.717,44.383
